"DOR","log10_DOR","Rank","TF_names","row.names","MAM","nonMAM","exprDiff","Specificity","regulon_size"
13.9233792547753,1.14374465291769,1,"JDP2","JDP2(-)",0.562658033809804,0.268395468578431,0.294262565231374,9.80703010237133,33
13.051047492916,1.11564537007557,2,"KLF3","KLF3(-)",0.326917727368372,0.107014967233082,0.21990276013529,6.55298534123332,20
10.7156668032935,1.03001920104099,3,"CEBPD","CEBPD(-)",0.422314691838268,0.255748711243339,0.166565980594928,6.52193547420732,72
9.52229611172702,0.978741682461905,4,"EGR1","EGR1(-)",0.61672352011902,0.466803536670075,0.149919983448945,7.07227802210555,101
7.31795229406091,0.86438957398174,5,"ELF2","ELF2(-)",0.490715460354915,0.304894973437521,0.185820486917394,2.71138154012986,20
6.13377244014087,0.787727659839435,6,"ELK3","ELK3(-)",0.676637978891402,0.451794569073439,0.224843409817963,6.65297675337346,49
5.9872598302834,0.777228105717047,7,"IRF1","IRF1(-)",0.818428236632407,0.510753353797954,0.307674882834452,1.25034959085752,11
5.78359953689712,0.762198214276651,8,"CREB1","CREB1(-)",1.07711153792283,0.686707369215179,0.390404168707654,0.250970315909237,5
5.65248196541338,0.752239185376717,9,"RARA","RARA(-)",0.184951686819524,0.0458913113120578,0.139060375507467,4.22112617885493,26
5.22673252293965,0.718230275727438,10,"POLR2A","POLR2A(-)",0.8528647601031,0.70744155963318,0.14542320046992,0.678840079322097,28
4.99396736432254,0.698445699901403,11,"TCF12","TCF12(-)",0.946386179705871,0.849684511040065,0.0967016686658067,5.32060934346188,125
4.90191947924894,0.690366173092095,12,"MEF2C","MEF2C(-)",0.605394347486683,0.435071895203972,0.170322452282711,6.86251425028551,56
4.39088774302992,0.642552334119679,13,"KLF7","KLF7(-)",0.685790764538424,0.662341723282198,0.0234490412562262,0.613830199435794,46
3.26476844163478,0.513852383746924,14,"FOXK1","FOXK1(+)",0.0906784292087083,-0.0313259124400254,0.122004341648734,0.483598468940011,85
3.20714536333312,0.506118644700107,15,"NFATC1","NFATC1(+)",0.179665490727392,0.114509225476579,0.0651562652508125,0.451205955499358,66
3.07967281099859,0.488504578862182,16,"MLX","MLX(+)",0.0157039951090819,0.0447647992914091,-0.0290608041823272,0.133039996635991,38
3.0711612281162,0.487302616392015,17,"BHLHE41","BHLHE41(+)",0.100192092689367,-0.138053076473373,0.23824516916274,0.0244863173369158,8
3.06671967702662,0.486674079769751,18,"IKZF1","IKZF1(-)",0.684335244955068,0.485026636765673,0.199308608189395,1.15947068642847,13
2.92525916683095,0.466164348961264,19,"MYC","MYC(-)",0.0904319010696835,-0.163161138101296,0.253593039170979,0.784603131241711,6
2.92392070826428,0.465965591120912,20,"HIVEP1","HIVEP1(-)",0.156733578269484,0.0192746997504566,0.137458878519028,0.449962725467324,14
2.72673421086329,0.435642807035483,21,"TCF4","TCF4(-)",0.157794850390949,0.0723799048165818,0.0854149455743673,3.5309675146859,14
2.62627533269726,0.419340254580147,22,"IRF8","IRF8(-)",0.597943257611027,0.583911410722113,0.0140318468889145,0.312906924147296,20
2.36688917996952,0.374177924319274,23,"CREM","CREM(-)",0.317311085329397,0.272806989834726,0.0445040954946715,0,6
